
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA#,PA#
#BALOCHISTAN

OKARA,OKARA-VII,SAHIWAL,PUNJAB,NA-145,PP-187
OKARA,OKARA-VIII,SAHIWAL,PUNJAB,NA-145,PP-188
OKARA,OKARA-IX,SAHIWAL,PUNJAB,NA-146,PP-189
OKARA,OKARA-X,SAHIWAL,PUNJAB,NA-146,PP-190
PAKPATTAN,PAKPATTAN-I,SAHIWAL,PUNJAB,NA-147,PP-191
PAKPATTAN,PAKPATTAN-II,SAHIWAL,PUNJAB,NA-147,PP-192
PAKPATTAN,PAKPATTAN-III,SAHIWAL,PUNJAB,NA-148,PP-193
PAKPATTAN,PAKPATTAN-IV,SAHIWAL,PUNJAB,NA-148,PP-194
SAHIWAL,SAHIWAL-I,SAHIWAL,PUNJAB,NA-143,PP-197
SAHIWAL,SAHIWAL-II,SAHIWAL,PUNJAB,NA-143,PP-198
SAHIWAL,SAHIWAL-III,SAHIWAL,PUNJAB,NA-144,PP-199
SAHIWAL,SAHIWAL-IV,SAHIWAL,PUNJAB,NA-144,PP-200
CHICHAWATNI,CHICHAWATNI-I,SAHIWAL,PUNJAB,NA-149,PP-201
CHICHAWATNI,CHICHAWATNI-II,SAHIWAL,PUNJAB,NA-149,PP-202
SAHIWAL,SAHIWAL-V,SAHIWAL,PUNJAB,NA-150,PP-203
SAHIWAL,SAHIWAL-VI,SAHIWAL,PUNJAB,NA-150,PP-204
MULTAN,MULTAN-I,MULTAN,PUNJAB,NA-151,PP-214
MULTAN,MULTAN-II,MULTAN,PUNJAB,NA-151,PP-215
MULTAN,MULTAN-III,MULTAN,PUNJAB,NA-152,PP-216
MULTAN,MULTAN-IV,MULTAN,PUNJAB,NA-152,PP-217
MULTAN,MULTAN-V,MULTAN,PUNJAB,NA-153,PP-218
MULTAN,MULTAN-VI,MULTAN,PUNJAB,NA-153,PP-219
MULTAN,MULTAN-VII,MULTAN,PUNJAB,NA-154,PP-220
MULTAN,MULTAN-VIII,MULTAN,PUNJAB,NA-154,PP-221
KHANEWAL,KHANEWAL-I,MULTAN,PUNJAB,NA-155,PP-222
KHANEWAL,KHANEWAL-II,MULTAN,PUNJAB,NA-155,PP-223
KHANEWAL,KHANEWAL-III,MULTAN,PUNJAB,NA-156,PP-224
KHANEWAL,KHANEWAL-IV,MULTAN,PUNJAB,NA-156,PP-225
KHANEWAL,KHANEWAL-V,MULTAN,PUNJAB,NA-157,PP-226
KHANEWAL,KHANEWAL-VI,MULTAN,PUNJAB,NA-157,PP-227
LODHRAN,LODHRAN-I,MULTAN,PUNJAB,NA-161,PP-228
LODHRAN,LODHRAN-II,MULTAN,PUNJAB,NA-161,PP-229
LODHRAN,LODHRAN-III,MULTAN,PUNJAB,NA-162,PP-230
VEHARI,VEHARI-I,SAHIWAL,PUNJAB,NA-163,PP-231
VEHARI,VEHARI-II,SAHIWAL,PUNJAB,NA-163,PP-232
VEHARI,VEHARI-III,SAHIWAL,PUNJAB,NA-164,PP-233
VEHARI,VEHARI-IV,SAHIWAL,PUNJAB,NA-164,PP-234
VEHARI,VEHARI-V,SAHIWAL,PUNJAB,NA-165,PP-235
DUNYAPUR,DUNYAPUR-I,MULTAN,PUNJAB,NA-159,PP-236
DUNYAPUR,DUNYAPUR-II,MULTAN,PUNJAB,NA-159,PP-237
MIAN CHANNU,MIAN_CHANNU-I,MULTAN,PUNJAB,NA-160,PP-238
MIAN CHANNU,MIAN_CHANNU-II,MULTAN,PUNJAB,NA-160,PP-239
MULTAN,MULTAN-IX,MULTAN,PUNJAB,NA-158,PP-240
MULTAN,MULTAN-X,MULTAN,PUNJAB,NA-158,PP-241
BAHAWALNAGAR,BAHAWALNAGAR-I,BAHAWALPUR,PUNJAB,NA-166,PP-246
BAHAWALNAGAR,BAHAWALNAGAR-II,BAHAWALPUR,PUNJAB,NA-166,PP-247
BAHAWALNAGAR,BAHAWALNAGAR-III,BAHAWALPUR,PUNJAB,NA-167,PP-248
BAHAWALNAGAR,BAHAWALNAGAR-IV,BAHAWALPUR,PUNJAB,NA-167,PP-249
BAHAWALPUR,BAHAWALPUR-I,BAHAWALPUR,PUNJAB,NA-170,PP-250
BAHAWALPUR,BAHAWALPUR-II,BAHAWALPUR,PUNJAB,NA-170,PP-251
BAHAWALPUR,BAHAWALPUR-III,BAHAWALPUR,PUNJAB,NA-171,PP-252
BAHAWALPUR,BAHAWALPUR-IV,BAHAWALPUR,PUNJAB,NA-171,PP-253
BAHAWALPUR,BAHAWALPUR-V,BAHAWALPUR,PUNJAB,NA-172,PP-254
BAHAWALPUR,BAHAWALPUR-VI,BAHAWALPUR,PUNJAB,NA-172,PP-255
RAHIM YAR KHAN,RAHIM_YAR_KHAN-I,BAHAWALPUR,PUNJAB,NA-173,PP-256
RAHIM YAR KHAN,RAHIM_YAR_KHAN-II,BAHAWALPUR,PUNJAB,NA-173,PP-257
RAHIM YAR KHAN,RAHIM_YAR_KHAN-III,BAHAWALPUR,PUNJAB,NA-174,PP-258
RAHIM YAR KHAN,RAHIM_YAR_KHAN-IV,BAHAWALPUR,PUNJAB,NA-174,PP-259
RAHIM YAR KHAN,RAHIM_YAR_KHAN-V,BAHAWALPUR,PUNJAB,NA-175,PP-260
MUZAFFARGARH,MUZAFFARGARH-I,DERAGHAZIKHAN,PUNJAB,NA-182,PP-270
MUZAFFARGARH,MUZAFFARGARH-II,DERAGHAZIKHAN,PUNJAB,NA-182,PP-271
MUZAFFARGARH,MUZAFFARGARH-III,DERAGHAZIKHAN,PUNJAB,NA-183,PP-272
MUZAFFARGARH,MUZAFFARGARH-IV,DERAGHAZIKHAN,PUNJAB,NA-183,PP-273
MUZAFFARGARH,MUZAFFARGARH-V,DERAGHAZIKHAN,PUNJAB,NA-184,PP-274
MUZAFFARGARH,MUZAFFARGARH-VI,DERAGHAZIKHAN,PUNJAB,NA-184,PP-275
MUZAFFARGARH,MUZAFFARGARH-VII,DERAGHAZIKHAN,PUNJAB,NA-185,PP-276
MUZAFFARGARH,MUZAFFARGARH-VIII,DERAGHAZIKHAN,PUNJAB,NA-185,PP-277
LAYYAH,LAYYAH-I,DERAGHAZIKHAN,PUNJAB,NA-187,PP-280
LAYYAH,LAYYAH-II,DERAGHAZIKHAN,PUNJAB,NA-187,PP-281
LAYYAH,LAYYAH-III,DERAGHAZIKHAN,PUNJAB,NA-188,PP-282
D.G. KHAN,D.G.KHAN-V,DERAGHAZIKHAN,PUNJAB,NA-189,PP-286
D.G. KHAN,D.G.KHAN-VI,DERAGHAZIKHAN,PUNJAB,NA-189,PP-287
D.G. KHAN,D.G._KHAN-I,DERAGHAZIKHAN,PUNJAB,NA-189,PP-288
D.G. KHAN,D.G._KHAN-II,DERAGHAZIKHAN,PUNJAB,NA-189,PP-289
D.G. KHAN,D.G._KHAN-III,DERAGHAZIKHAN,PUNJAB,NA-189,PP-290
D.G. KHAN,D.G._KHAN-IV,DERAGHAZIKHAN,PUNJAB,NA-189,PP-291
RAJANPUR,RAJANPUR-I,DERAGHAZIKHAN,PUNJAB,NA-189,PP-292
RAJANPUR,RAJANPUR-II,DERAGHAZIKHAN,PUNJAB,NA-189,PP-293
RAJANPUR,RAJANPUR-III,DERAGHAZIKHAN,PUNJAB,NA-189,PP-294
RAJANPUR,RAJANPUR-IV,DERAGHAZIKHAN,PUNJAB,NA-189,PP-295
RAJANPUR,RAJANPUR-V,DERAGHAZIKHAN,PUNJAB,NA-189,PP-296
RAJANPUR,RAJANPUR-VI,DERAGHAZIKHAN,PUNJAB,NA-189,PP-297


#SINDH

JACOBABAD,JACOBABAD-I,LARKANA,SINDH,NA-190,PS-1
JACOBABAD,JACOBABAD-II,LARKANA,SINDH,NA-190,PS-2
KASHMORE,KASHMORE-I,LARKANA,SINDH,NA-191,PS-3
KASHMORE,KASHMORE-II,LARKANA,SINDH,NA-191,PS-4
LARKANA,LARKANA-I,LARKANA,SINDH,NA-192,PS-5
LARKANA,LARKANA-II,LARKANA,SINDH,NA-192,PS-6
QAMBAR SHAHDADKOT,QAMBAR_SHAHDADKOT-I,LARKANA,SINDH,NA-193,PS-7
QAMBAR SHAHDADKOT,QAMBAR_SHAHDADKOT-II,LARKANA,SINDH,NA-193,PS-8
SHIKARPUR,SHIKARPUR-I,LARKANA,SINDH,NA-194,PS-9
SHIKARPUR,SHIKARPUR-II,LARKANA,SINDH,NA-194,PS-10
SHIKARPUR,SHIKARPUR-III,LARKANA,SINDH,NA-195,PS-11
SHIKARPUR,SHIKARPUR-IV,LARKANA,SINDH,NA-195,PS-12
LARKANA,LARKANA-III,LARKANA,SINDH,NA-196,PS-13
GHOTKI,GHOTKI-I,SUKKUR,SINDH,NA-197,PS-14
GHOTKI,GHOTKI-II,SUKKUR,SINDH,NA-197,PS-15
SUKKUR,SUKKUR-I,SUKKUR,SINDH,NA-198,PS-16
SUKKUR,SUKKUR-II,SUKKUR,SINDH,NA-198,PS-17
KHAIRPUR,KHAIRPUR-I,SUKKUR,SINDH,NA-199,PS-18
SUKKUR,SUKKUR-III,SUKKUR,SINDH,NA-199,PS-19
KHAIRPUR,KHAIRPUR-II,SUKKUR,SINDH,NA-199,PS-20
KHAIRPUR,KHAIRPUR-III,SUKKUR,SINDH,NA-200,PS-21
KHAIRPUR,KHAIRPUR-IV,SUKKUR,SINDH,NA-200,PS-22
KHAIRPUR,KHAIRPUR-V,SUKKUR,SINDH,NA-201,PS-23
KHAIRPUR,KHAIRPUR-VI,SUKKUR,SINDH,NA-201,PS-24
SHAHEED BENAZIRABAD,SHAHEED_BENAZIRABAD-I,SHAHEED BENAZIRABAD,SINDH,NA-202,PS-25
SHAHEED BENAZIRABAD,SHAHEED_BENAZIRABAD-II,SHAHEED BENAZIRABAD,SINDH,NA-202,PS-26
NAUSHAHRO FEROZE,NAUSHAHRO_FEROZE-I,SHAHEED BENAZIRABAD,SINDH,NA-203,PS-27
NAUSHAHRO FEROZE,NAUSHAHRO_FEROZE-II,SHAHEED BENAZIRABAD,SINDH,NA-203,PS-28
SANGHAR,SANGHAR-I,SHAHEED BENAZIRABAD,SINDH,NA-204,PS-29
SANGHAR,SANGHAR-II,SHAHEED BENAZIRABAD,SINDH,NA-204,PS-30
SANGHAR,SANGHAR-III,SHAHEED BENAZIRABAD,SINDH,NA-205,PS-31
SANGHAR,SANGHAR-IV,SHAHEED BENAZIRABAD,SINDH,NA-205,PS-32
MIRPURKHAS,MIRPURKHAS-I,MIRPURKHAS,SINDH,NA-206,PS-33
MIRPURKHAS,MIRPURKHAS-II,MIRPURKHAS,SINDH,NA-206,PS-34
UMERKOT,UMERKOT-I,MIRPURKHAS,SINDH,NA-207,PS-35
UMERKOT,UMERKOT-II,MIRPURKHAS,SINDH,NA-207,PS-36
THARPARKAR,THARPARKAR-I,MIRPURKHAS,SINDH,NA-208,PS-37
THARPARKAR,THARPARKAR-II,MIRPURKHAS,SINDH,NA-208,PS-38
SANGHAR,SANGHAR-V,SHAHEED BENAZIRABAD,SINDH,NA-209,PS-39
SANGHAR,SANGHAR-VI,SHAHEED BENAZIRABAD,SINDH,NA-209,PS-40
HYDERABAD,HYDERABAD-I,HYDERABAD,SINDH,NA-210,PS-41
HYDERABAD,HYDERABAD-II,HYDERABAD,SINDH,NA-210,PS-42
TANDO ALLAHYAR,TANDO_ALLAHYAR-I,HYDERABAD,SINDH,NA-211,PS-43
TANDO ALLAHYAR,TANDO_ALLAHYAR-II,HYDERABAD,SINDH,NA-211,PS-44
MATIARI,MATIARI,HYDERABAD,SINDH,NA-212,PS-45
TANDO MUHAMMAD KHAN,TANDO_MUHAMMAD_KHAN-I,HYDERABAD,SINDH,NA-213,PS-46
TANDO MUHAMMAD KHAN,TANDO_MUHAMMAD_KHAN-II,HYDERABAD,SINDH,NA-213,PS-47
THATTA,THATTA-I,HYDERABAD,SINDH,NA-214,PS-48
SUJAWAL,SUJAWAL,HYDERABAD,SINDH,NA-215,PS-49
BADIN,BADIN-I,HYDERABAD,SINDH,NA-216,PS-50
BADIN,BADIN-II,HYDERABAD,SINDH,NA-216,PS-51
BADIN,BADIN-III,HYDERABAD,SINDH,NA-217,PS-52
BADIN,BADIN-IV,HYDERABAD,SINDH,NA-217,PS-53
DADU,DADU-I,LARKANA,SINDH,NA-218,PS-54
DADU,DADU-II,LARKANA,SINDH,NA-218,PS-55
DADU,DADU-III,LARKANA,SINDH,NA-219,PS-56
JAMSHORO,JAMSHORO-I,HYDERABAD,SINDH,NA-220,PS-57
JAMSHORO,JAMSHORO-II,HYDERABAD,SINDH,NA-220,PS-58
KARACHI MALIR,KARACHI_MALIR-I,KARACHI,SINDH,NA-221,PS-59
KARACHI MALIR,KARACHI_MALIR-II,KARACHI,SINDH,NA-221,PS-60
KARACHI MALIR,KARACHI_MALIR-III,KARACHI,SINDH,NA-222,PS-61
KARACHI KORANGI,KARACHI_KORANGI-I,KARACHI,SINDH,NA-223,PS-62
KARACHI KORANGI,KARACHI_KORANGI-II,KARACHI,SINDH,NA-223,PS-63
KARACHI KORANGI,KARACHI_KORANGI-III,KARACHI,SINDH,NA-224,PS-64
KARACHI KORANGI,KARACHI_KORANGI-IV,KARACHI,SINDH,NA-224,PS-65
KARACHI SOUTH,KARACHI_SOUTH-I,KARACHI,SINDH,NA-225,PS-66
KARACHI SOUTH,KARACHI_SOUTH-II,KARACHI,SINDH,NA-225,PS-67
KARACHI EAST,KARACHI_EAST-I,KARACHI,SINDH,NA-226,PS-68
KARACHI EAST,KARACHI_EAST-II,KARACHI,SINDH,NA-226,PS-69
KARACHI EAST,KARACHI_EAST-III,KARACHI,SINDH,NA-227,PS-70
KARACHI EAST,KARACHI_EAST-IV,KARACHI,SINDH,NA-227,PS-71
KARACHI CENTRAL,KARACHI_CENTRAL-I,KARACHI,SINDH,NA-228,PS-72
KARACHI CENTRAL,KARACHI_CENTRAL-II,KARACHI,SINDH,NA-228,PS-73
KARACHI CENTRAL,KARACHI_CENTRAL-III,KARACHI,SINDH,NA-229,PS-74
KARACHI CENTRAL,KARACHI_CENTRAL-IV,KARACHI,SINDH,NA-229,PS-75
KARACHI CENTRAL,KARACHI_CENTRAL-V,KARACHI,SINDH,NA-230,PS-76
KARACHI CENTRAL,KARACHI_CENTRAL-VI,KARACHI,SINDH,NA-230,PS-77
KARACHI WEST,KARACHI_WEST-I,KARACHI,SINDH,NA-231,PS-78
KARACHI WEST,KARACHI_WEST-II,KARACHI,SINDH,NA-231,PS-79
KARACHI WEST,KARACHI_WEST-III,KARACHI,SINDH,NA-232,PS-80
KARACHI WEST,KARACHI_WEST-IV,KARACHI,SINDH,NA-232,PS-81
KARACHI WEST,KARACHI_WEST-V,KARACHI,SINDH,NA-233,PS-82
KARACHI WEST,KARACHI_WEST-VI,KARACHI,SINDH,NA-233,PS-83
KARACHI WEST,KARACHI_WEST-VII,KARACHI,SINDH,NA-234,PS-84
KARACHI WEST,KARACHI_WEST-VIII,KARACHI,SINDH,NA-234,PS-85
KARACHI WEST,KARACHI_WEST-IX,KARACHI,SINDH,NA-235,PS-86
KARACHI WEST,KARACHI_WEST-X,KARACHI,SINDH,NA-235,PS-87
KARACHI WEST,KARACHI_WEST-XI,KARACHI,SINDH,NA-236,PS-88
KARACHI WEST,KARACHI_WEST-XII,KARACHI,SINDH,NA-236,PS-89
KARACHI KEAMARI,KARACHI_KEAMARI-I,KARACHI,SINDH,NA-237,PS-90
KARACHI KEAMARI,KARACHI_KEAMARI-II,KARACHI,SINDH,NA-237,PS-91
KARACHI KEAMARI,KARACHI_KEAMARI-III,KARACHI,SINDH,NA-238,PS-92
KARACHI KEAMARI,KARACHI_KEAMARI-IV,KARACHI,SINDH,NA-238,PS-93
KARACHI BIN QASIM,KARACHI_BIN_QASIM,KARACHI,SINDH,NA-239,PS-94
KARACHI SOUTH,KARACHI_SOUTH-III,KARACHI,SINDH,NA-240,PS-95
KARACHI SOUTH,KARACHI_SOUTH-IV,KARACHI,SINDH,NA-240,PS-96
KARACHI EAST,KARACHI_EAST-V,KARACHI,SINDH,NA-241,PS-97
KARACHI EAST,KARACHI_EAST-VI,KARACHI,SINDH,NA-241,PS-98
KARACHI EAST,KARACHI_EAST-VII,KARACHI,SINDH,NA-242,PS-99
KARACHI CENTRAL,KARACHI_CENTRAL-VII,KARACHI,SINDH,NA-243,PS-100
KARACHI CENTRAL,KARACHI_CENTRAL-VIII,KARACHI,SINDH,NA-243,PS-101
KARACHI CENTRAL,KARACHI_CENTRAL-IX,KARACHI,SINDH,NA-244,PS-102
KARACHI CENTRAL,KARACHI_CENTRAL-X,KARACHI,SINDH,NA-244,PS-103
KARACHI CENTRAL,KARACHI_CENTRAL-XI,KARACHI,SINDH,NA-245,PS-104
KARACHI CENTRAL,KARACHI_CENTRAL-XII,KARACHI,SINDH,NA-245,PS-105
KARACHI CENTRAL,KARACHI_CENTRAL-XIII,KARACHI,SINDH,NA-246,PS-106
KARACHI CENTRAL,KARACHI_CENTRAL-XIV,KARACHI,SINDH,NA-246,PS-107
KARACHI WEST,KARACHI_WEST-XIII,KARACHI,SINDH,NA-247,PS-108
KARACHI WEST,KARACHI_WEST-XIV,KARACHI,SINDH,NA-247,PS-109
KARACHI WEST,KARACHI_WEST-XV,KARACHI,SINDH,NA-248,PS-110
KARACHI WEST,KARACHI_WEST-XVI,KARACHI,SINDH,NA-248,PS-111
KARACHI WEST,KARACHI_WEST-XVII,KARACHI,SINDH,NA-249,PS-112
KARACHI WEST,KARACHI_WEST-XVIII,KARACHI,SINDH,NA-249,PS-113
KARACHI WEST,KARACHI_WEST-XIX,KARACHI,SINDH,NA-250,PS-114
KARACHI WEST,KARACHI_WEST-XX,KARACHI,SINDH,NA-250,PS-115
KARACHI WEST,KARACHI_WEST-XXI,KARACHI,SINDH,NA-250,PS-116
KARACHI WEST,KARACHI_WEST-XXII,KARACHI,SINDH,NA-250,PS-117
KARACHI WEST,KARACHI_WEST-XXIII,KARACHI,SINDH,NA-250,PS-118
KARACHI WEST,KARACHI_WEST-XXIV,KARACHI,SINDH,NA-250,PS-119
KARACHI WEST,KARACHI_WEST-XXV,KARACHI,SINDH,NA-250,PS-120
KARACHI WEST,KARACHI_WEST-XXVI,KARACHI,SINDH,NA-250,PS-121
KARACHI WEST,KARACHI_WEST-XXVII,KARACHI,SINDH,NA-250,PS-122
KARACHI WEST,KARACHI_WEST-XXVIII,KARACHI,SINDH,NA-250,PS-123
KARACHI WEST,KARACHI_WEST-XXIX,KARACHI,SINDH,NA-250,PS-124
KARACHI WEST,KARACHI_WEST-XXX,KARACHI,SINDH,NA-250,PS-125
KARACHI WEST,KARACHI_WEST-XXXI,KARACHI,SINDH,NA-250,PS-126
KARACHI WEST,KARACHI_WEST-XXXII,KARACHI,SINDH,NA-250,PS-127
KARACHI WEST,KARACHI_WEST-XXXIII,KARACHI,SINDH,NA-250,PS-128
KARACHI WEST,KARACHI_WEST-XXXIV,KARACHI,SINDH,NA-250,PS-129
KARACHI WEST,KARACHI_WEST-XXXV,KARACHI,SINDH,NA-250,PS-130
